sku_id,location_name,at site,,at transit,at wh,sales_30_days,sales_60_days,sales_90_days,sku name,catalog_price,brands,category,assortment_group,markets,seasons,styles,size,department_name,department_external_id,product_name
P73278-01022A-383-04,Store #2,0,,0,0,0,0,0,PLAYERA NIÑO ALGODÓN - SF SPRING BREAK 21 A 383-BEIGE 4,159,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL,INVIERNO 2023,MANGA CORTA,4,Linea,2,PLAYERA NIÑO ALGODÓN - SF SPRING BREAK 21 A 383-BEIGE
P00130-02951A-223-65,Store #25,0,,0,0,0,0,0,PLAYERA BÁSICA INFANTIL - SF FROGENCIO 83 FL A 223-VERDE S,199,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,S,Linea,2,PLAYERA BÁSICA INFANTIL - SF FROGENCIO 83 FL A 223-VERDE
P99842-02239A-241-64,Store #30,0,,0,0,0,0,0,PLAYERA DE NIÑO - SF GAMERS CLUB A 241-VINO M,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2023,MANGA CORTA,M,Linea,2,PLAYERA DE NIÑO - SF GAMERS CLUB A 241-VINO
P00130-03035A-201-66,Store #26,0,,0,0,0,0,2,PLAYERA BÁSICA INFANTIL - SF TODO BIEN CH A 201-AZUL 2X,209,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2024,MANGA CORTA,2X,Linea,2,PLAYERA BÁSICA INFANTIL - SF TODO BIEN CH A 201-AZUL
P00130-20009A-211-64,Store #12,12,,0,1,0,0,0,PLAYERA BÁSICA INFANTIL - SF WORLD FAMOSO CH A 211-ROJO M,219,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL,PRIMAVERA 2019,MANGA CORTA,M,Linea,2,PLAYERA BÁSICA INFANTIL - SF WORLD FAMOSO CH A 211-ROJO
P91165-02727A-067-06,Store #8,0,,0,0,0,0,0,PLAY ÑO BICOLOR - SF FALLING FROGS A 067-GRIS JASPE 6,359,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,VERANO 2024,MANGA CORTA,6,Moda,1,PLAY ÑO BICOLOR - SF FALLING FROGS A 067-GRIS JASPE
P73278-02379A-145-08,Store #29,0,,0,0,0,0,0,PLAYERA NIÑO ALGODÓN - SF AESTHETIC A 145-AZUL 8,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL,INVIERNO 2023,MANGA CORTA,8,Linea,2,PLAYERA NIÑO ALGODÓN - SF AESTHETIC A 145-AZUL
P74103-03169A-498-69,Store #10,0,,0,0,1,2,2,PLAYERA NIÑO JASPEADA - SF BEACH SKETCH A 498-ROJO XL,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2024,MANGA CORTA,XL,Linea,2,PLAYERA NIÑO JASPEADA - SF BEACH SKETCH A 498-ROJO
P20416-01833A-140-04,Store #9,0,,0,0,0,0,0,PLAYERA NIÑO 2 TONOS - SF BEACH NIGHT A 140-MARINO/ROJO 4,329,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2023,MANGA CORTA,4,Moda,1,PLAYERA NIÑO 2 TONOS - SF BEACH NIGHT A 140-MARINO/ROJO
P00148-02796A-211-10,Store #28,0,,0,0,0,0,0,PLAYERA INFANTIL PREMIUM - SF WORLD FAMOSO FL. A 211-ROJO 10,299,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,PRIMAVERA 2024,MANGA CORTA,10,Linea,2,PLAYERA INFANTIL PREMIUM - SF WORLD FAMOSO FL. A 211-ROJO
P99842-01668A-241-63,Store #28,0,,0,0,0,0,0,PLAYERA DE NIÑO - SF TIPO ARMY A 241-VINO L,309,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_INFANTIL MASCULINO,INFANTIL MASCULINO,INVIERNO 2022,MANGA CORTA,L,Linea,2,PLAYERA DE NIÑO - SF TIPO ARMY A 241-VINO
