sku_id,location_id,crnt_site_qty,crnt_transit_qty,crnt_source_location_site_qty,sales_30_days,sales_60_days,sales_90_days,sku.name,sku.external_id,catalog_cost,catalog_price,brands,category,assortment_group,markets,seasons,styles,size,department_name,product_name,loc.name
d798731e-61f6-5867-9876-4fa4eb17c4f9,7f9a10e5-ce48-5b80-8090-b192cf52640f,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA CAB SUBLIM - SF ROCK STICKERS A 023-BLANCO 2X,P00230-03045A-023-66,151.590,459.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,PRIMAVERA 2025,MANGA CORTA,2X,Moda,PLAYERA CAB SUBLIM - SF ROCK STICKERS A 023-BLANCO,ALMACEN CANCUN
c515edc2-26ac-5b35-895e-5527d30827f8,42e3d76f-5315-580b-a90d-67d8834b31ce,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE PREMIUM FIT - SF STAY POSITIVE A 211-ROJO S,P00151-02381A-211-65,0.000,399.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2023,MANGA CORTA,S,Linea,PLAYERA HOMBRE PREMIUM FIT - SF STAY POSITIVE A 211-ROJO,ALMACEN MAZATLAN
cecd4aa0-6f86-5c08-95db-b154c0e1f1f6,b46a3bdb-7375-53d8-b012-2732e5e0ac09,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA BÁSICA ALGODÓN - SF TALLER OBSERVADOR A 173-NEGRO L,P00122-03157A-173-63,69.640,0.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,INVIERNO 2024,MANGA CORTA,L,Linea,PLAYERA BÁSICA ALGODÓN - SF TALLER OBSERVADOR A 173-NEGRO,PLAYA 4
b87b03ec-8244-55b8-8b1a-ee6b5b908fd1,cc4b01b9-adaa-5d70-8fbe-f227d148c884,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE ALGODÓN - SF CRAFT BEER FL. A 417-MAMEY 2X,P73277-02799A-417-66,95.920,379.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,PRIMAVERA 2024,MANGA CORTA,2X,Linea,PLAYERA HOMBRE ALGODÓN - SF CRAFT BEER FL. A 417-MAMEY,ACA2
1400f213-1d59-52ec-b1da-6f43c3ab8842,7fafaa29-ecbd-5488-bbb1-adc47866303e,0.000,0.000,0.000,0.000,0.000,11.000,PLAY H RANGLAN  - SF BASEBALL RAYAS A 034-BLANCO/NEGRO L,P72565-03023A-034-63,118.050,429.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,INVIERNO 2024,MANGA LARGA,L,Moda,PLAY H RANGLAN  - SF BASEBALL RAYAS A 034-BLANCO/NEGRO,ACA5
ce115c8e-2e34-57f3-b8ee-f2b6cd8497f3,3aef7a25-bde0-590e-9940-528e8f31da03,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE ALGODÓN - SF WORLD FROGS A 241-VINO 2X,P73277-03394A-241-66,0.000,399.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2025,MANGA CORTA,2X,Linea,PLAYERA HOMBRE ALGODÓN - SF WORLD FROGS A 241-VINO,ALMACEN COZUMEL
9afa5c2e-8b54-5987-9aa2-a776a06e37e0,555e0aee-09bd-5836-a45d-0c18ba1ffdfc,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE ALGODÓN - SF BEACH PATROL A 223-VERDE 2X,P73277-03393A-223-66,0.000,399.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2025,MANGA CORTA,2X,Linea,PLAYERA HOMBRE ALGODÓN - SF BEACH PATROL A 223-VERDE,CABOS
519bbc4d-adc8-5ca5-bbe8-3e1348f57546,3b5ae158-07c7-520d-9498-9bf33cbcc0c0,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA HOMBRE PREMIUM FIT - PERSONALIZADO MARINO A 173-NEGRO M,P00151-19996A-173-64,0.000,339.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,PRIMAVERA 2024,MANGA CORTA,M,Linea,PLAYERA HOMBRE PREMIUM FIT - PERSONALIZADO MARINO A 173-NEGRO,ALMACEN ISLA MUJERES
9c98acda-5fa9-52be-aa0c-7e998b5198de,107ec559-50b7-599a-81ad-1023f377776f,3.000,0.000,120.000,6.000,16.000,20.000,PLAYERA BÁSICA ALGODÓN - SF FROGENCIO 83 A 223-VERDE M,P00122-02247A-223-64,75.180,289.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE,VERANO 2023,MANGA CORTA,M,Linea,PLAYERA BÁSICA ALGODÓN - SF FROGENCIO 83 A 223-VERDE,M03
82ebe82d-356a-59a6-87e2-d81a5a6f3707,ced68410-d6ac-54d2-ada5-1061fc8d2322,0.000,0.000,0.000,0.000,0.000,0.000,PLAYERA 2 RINGER MANGA - SF RETRO MONO A 066-GRIS XL,P79975-03217A-066-69,0.000,459.000,SEÑOR FROGS,PLAYERA,PLAYERA_SEÑOR FROGS_ADULTO-ADOLESCENTE MASCULINO,ADULTO-ADOLESCENTE MASCULINO,VERANO 2025,MANGA CORTA,XL,Moda,PLAYERA 2 RINGER MANGA - SF RETRO MONO A 066-GRIS,ALMACEN VALLARTA
